id;pp_code;pp_version;pp_cust_code;pp_cust_name;pp_state;created_by;created_date;last_modified_by;last_modified_date
1;Optimized Forward;conglomeration Home;Shoes Venezuela Advanced;Suriname;CALCULATED_DONE;Congo;2020-07-13T12:57:57;Checking Account Table back up;2020-07-14T00:49:59
2;Vision-oriented navigate ubiquitous;Fish Alaska;withdrawal e-markets;Meadows Track implement;CALCULATED_DONE;Home Loan Account;2020-07-14T00:23:53;Avenue;2020-07-13T13:30:30
3;Ghana next-generation architect;software leading edge;CSS Metal Avon;incentivize harness;CALCULATED_DONE;model SQL;2020-07-13T15:02:50;AGP Valley;2020-07-13T12:56:24
4;Green indexing District;Auto Loan Account;Bermudian Dollar (customarily known as Bermuda Dollar) El Salvador Colon US Dollar Utah;generate;CALCULATING;Architect Ball;2020-07-13T15:55:16;Kids;2020-07-13T21:09:38
5;Congo SCSI;Shoes Visionary Consultant;mobile Beauty;Shoes Auto Loan Account;CALCULATED_DONE;Strategist;2020-07-13T20:27:32;Books Credit Card Account withdrawal;2020-07-13T07:46:46
6;scalable Generic Wooden Keyboard;backing up Representative Personal Loan Account;bandwidth;GB compress;CALCULATED_DONE;parsing Fantastic Rubber Shirt;2020-07-13T09:55:20;Tuna;2020-07-13T02:19:34
7;deposit;back up Plastic Pants;maroon;Barbados Dollar;CALCULATED_DONE;Persevering next-generation help-desk;2020-07-13T10:29:45;quantify;2020-07-13T08:17:50
8;Strategist e-markets;seize;Heights Springs Architect;Infrastructure Automotive silver;CALCULATING;North Dakota national Sleek;2020-07-13T04:24:54;Ball;2020-07-13T20:36:07
9;Representative backing up deliverables;Reduced;Mexico withdrawal;Factors Rufiyaa;CALCULATED_DONE;archive;2020-07-13T22:59:36;input;2020-07-13T13:16:15
10;Plastic;Personal Loan Account;initiative;generating Bacon Cheese;CALCULATING;Cambridgeshire Borders pink;2020-07-13T08:43:14;Configuration models;2020-07-13T08:09:48
