id;vendor_id;material_code;usage_date;usage_qty;sum_id;created_by;created_date;last_modified_by;last_modified_date
1;Gorgeous Steel Chicken Home Loan Account;Mill;2020-07-13T01:11:00;33352;clicks-and-mortar reboot;Burkina Faso pixel invoice;2020-07-13T08:24:36;benchmark District;2020-07-13T08:20:03
2;Niue frictionless SCSI;e-commerce regional Switchable;2020-07-13T03:58:20;53566;South Dakota Union;Awesome;2020-07-13T11:24:10;Drive reboot GB;2020-07-13T01:05:50
3;artificial intelligence;pixel;2020-07-13T23:07:25;26400;Concrete olive;eco-centric Health;2020-07-13T22:43:44;Cambridgeshire Central;2020-07-13T07:01:13
4;Rustic;Grove;2020-07-13T16:53:59;68631;Glens;wireless;2020-07-13T14:39:31;Ergonomic Cotton Bike Directives quantify;2020-07-13T09:33:36
5;reinvent;Tasty Granite Shirt Meadows;2020-07-13T19:16:47;48373;Manor;Serbian Dinar Bedfordshire National;2020-07-13T03:22:43;orchid Secured Gorgeous;2020-07-13T02:27:59
6;Games Pants;Awesome Metal Pizza Group Money Market Account;2020-07-13T07:53:30;22306;incubate;payment cross-platform;2020-07-13T19:56:55;Chief syndicate interfaces;2020-07-13T20:52:42
7;Solomon Islands Dollar;portals Consultant;2020-07-13T14:10:20;1449;Direct;maximize strategize;2020-07-13T13:19:08;Shoes;2020-07-13T11:48:32
8;Cotton array;Plastic Rubber;2020-07-13T19:22:10;23104;repurpose;Frozen Road Avon;2020-07-13T12:07:10;frictionless;2020-07-13T01:16:04
9;connecting 1080p Garden;Electronics Usability Gorgeous;2020-07-13T02:26:29;53809;User-centric;Causeway;2020-07-13T19:57:52;blue deposit Consultant;2020-07-13T13:03:52
10;Sports Granite Borders;recontextualize Metrics salmon;2020-07-13T16:49:43;72378;Refined New Zealand Dollar Romania;Avon;2020-07-13T12:10:38;capability Small Steel Mouse Investor;2020-07-13T12:20:46
