id;products_code;semi_products_code;semi_pro_qty;semi_pro_date;created_by;created_date;last_modified_by;last_modified_date
1;Cheese magnetic Costa Rica;Pine Handmade Fresh Table;56443;2020-07-13T21:51:41;seamless Clothing Handcrafted Fresh Chips;2020-07-13T11:24:07;Developer Lithuania;2020-07-13T19:50:06
2;bluetooth intuitive Horizontal;Pike;83503;2020-07-13T10:23:19;District Practical Granite Chair deposit;2020-07-13T05:53:46;Cape Verde;2020-07-13T14:13:00
3;Unbranded;invoice Convertible Marks;76669;2020-07-13T18:45:11;Liaison;2020-07-13T22:22:46;Toys Glen;2020-07-13T01:35:24
4;Practical Incredible Rubber Mouse;Oregon online;83507;2020-07-13T01:41:38;Seamless;2020-07-13T18:50:57;Handmade Rubber Bike Granite;2020-07-13T16:11:26
5;hard drive;Isle of Man Concrete;58220;2020-07-13T11:33:32;Congo HDD algorithm;2020-07-13T02:41:55;info-mediaries Electronics;2020-07-13T12:57:53
6;Digitized;Fork Fort deposit;48506;2020-07-13T14:32:08;Avon Vision-oriented Engineer;2020-07-13T13:15:09;Rustic Concrete Sausages Som;2020-07-14T00:38:40
7;Balboa US Dollar Kansas;Hill Program Baby;33266;2020-07-13T14:49:29;driver;2020-07-13T09:59:56;Awesome Idaho PNG;2020-07-13T06:32:27
8;Rustic Soft Sausages sticky;Guarani Advanced;98730;2020-07-13T23:37:33;protocol grey;2020-07-13T11:56:47;Credit Card Account Unbranded Soft Car;2020-07-13T14:52:29
9;Accounts Generic;JBOD;73628;2020-07-13T04:56:15;withdrawal Monitored SAS;2020-07-13T09:38:52;Cotton;2020-07-13T12:55:29
10;Canyon logistical parsing;relationships cross-platform;63642;2020-07-13T07:02:21;pink Plastic;2020-07-13T08:54:03;Lake leverage;2020-07-13T05:45:45
