id;pp_code;pp_version;pp_cust_code;pp_cust_name;pp_state;created_by;created_date;last_modified_by;last_modified_date
1;Consultant Mobility;Integration;Dynamic Practical Rubber Gloves Granite;Kwanza;matrices generate orange;Frozen PCI XML;2020-07-13T05:42:58;Louisiana;2020-07-13T14:57:42
2;Electronics Uganda Shilling;national SMS Iceland Krona;Forest;payment;Metal PNG;Legacy Specialist;2020-07-13T03:42:56;Reunion;2020-07-13T11:05:49
3;communities Internal HTTP;Moroccan Dirham;Computer Cotton array;Associate;GB Grocery;RSS;2020-07-13T22:38:10;Investment Account neural;2020-07-13T12:42:38
4;solid state networks exuding;Configurable SCSI Directives;5th generation evolve copy;Valleys;encompassing deposit;flexibility;2020-07-13T17:31:09;transmit Nicaragua attitude-oriented;2020-07-13T02:52:59
5;Berkshire PNG;Sausages collaborative Walk;data-warehouse Future;virtual;Bulgaria;Persistent sexy Kids;2020-07-13T21:05:34;European Unit of Account 9(E.U.A.-9) Fantastic Lead;2020-07-13T02:21:04
6;Concrete;dot-com;orange driver Guam;Steel microchip;Manager;open-source;2020-07-14T00:01:44;Money Market Account Assistant Licensed;2020-07-13T16:14:34
7;Tajikistan Home Loan Account;Phased Optional;Fresh;Home;Research explicit Azerbaijan;compressing port;2020-07-13T12:40:13;client-driven Officer turn-key;2020-07-13T05:40:10
8;Upgradable Handcrafted Metal Gloves Direct;time-frame navigating;drive Metal Massachusetts;Iceland infrastructures International;architect harness Plains;Optional Massachusetts;2020-07-13T08:38:48;rich;2020-07-13T10:26:52
9;Parkways;Kids;online Cambridgeshire Jamaican Dollar;payment synthesize;relationships;iterate online;2020-07-13T04:03:52;Ethiopia reintermediate;2020-07-13T23:59:13
10;Borders Managed;cohesive Intelligent Frozen Table;invoice Streamlined;Metrics bypassing Personal Loan Account;convergence;Licensed Rubber Pizza Factors;2020-07-13T05:59:03;Afghani;2020-07-13T22:39:47
