id;po_num;po_version;vendor_code;vendor_name;plant;ship_to;po_status;buyer;created_by;created_date;last_modified_by;last_modified_date
1;Refined Metal Ball withdrawal Reduced;deposit;Refined Wooden Cheese Fantastic Cotton Keyboard;Synchronised mint green;Kentucky;syndicate Computers;SYNCHRO;Tanzanian Shilling District Dynamic;overriding;2020-07-13T17:26:26;Rubber;2020-07-13T21:47:11
2;haptic;online;Configuration;redefine;Mali Brunei Dollar;Programmable monetize;SYNCHRO;contextually-based engage;Kids;2020-07-13T16:56:46;Gorgeous;2020-07-13T09:58:17
3;PNG Rustic Metal Computer;markets;Marketing Quality Checking Account;Research Fantastic Synergized;Avon RSS maroon;digital Pre-emptive;SYNCHRO;deposit withdrawal Parkway;Djibouti Franc markets Data;2020-07-13T23:23:42;discrete Handmade Cotton Keyboard;2020-07-13T17:08:53
4;Buckinghamshire Borders;Turnpike frictionless;Maine Savings Account Borders;Centralized;Poland integrated;green;CLOSE;cutting-edge moratorium Refined;Auto Loan Account;2020-07-13T08:41:03;bleeding-edge;2020-07-13T18:32:47
5;enterprise dot-com Shoes;functionalities iterate;Intelligent;United Arab Emirates Brooks deposit;users wireless programming;connecting;CLOSE;methodologies navigate;Savings Account;2020-07-13T01:37:08;solid state;2020-07-13T08:27:49
6;parse;invoice portal;Branding Towels plum;Electronics Games;withdrawal Representative;parse;CLOSE;Auto Loan Account Shirt;Sports web services Money Market Account;2020-07-13T08:22:24;Concrete;2020-07-13T03:14:07
7;HTTP leading-edge Isle;integrate Colorado;backing up;New Jersey maroon;EXE;Money Market Account synthesize;RELEASED;Congolese Franc;discrete;2020-07-13T19:59:03;Saint Vincent and the Grenadines synthesize matrix;2020-07-13T15:22:04
8;Brand Executive;embrace Convertible Marks;Engineer gold;markets action-items;Table plum function;index reboot;RELEASED;Norway;copy invoice;2020-07-13T15:48:18;parse matrix;2020-07-13T20:20:37
9;bus;local;Decentralized;Manager;Czech Koruna;Alley IB;CLOSE;Bedfordshire Montana Tasty;Credit Card Account Multi-lateral feed;2020-07-13T04:17:29;connecting transform;2020-07-13T15:46:24
10;Buckinghamshire Pakistan Rupee;web-readiness Nuevo Sol;haptic Tennessee;Designer;application maroon;internet solution Automotive Checking Account;RELEASED;e-markets;bluetooth redundant;2020-07-13T13:35:53;markets;2020-07-13T17:31:02
