id;products_code;semi_products_code;semi_pro_qty;semi_pro_date;created_by;created_date;last_modified_by;last_modified_date
1;sky blue;invoice;99546;2020-07-13T20:26:34;Intranet;2020-07-13T08:38:57;alarm;2020-07-14T00:29:02
2;AI online;Response Steel SSL;6406;2020-07-13T14:11:17;Buckinghamshire Savings Account;2020-07-13T02:32:06;Profound Granite;2020-07-13T03:54:41
3;digital Czech Koruna bleeding-edge;Profit-focused Stream;4009;2020-07-13T10:07:56;Planner;2020-07-13T09:04:55;Tennessee;2020-07-13T02:50:23
4;envisioneer reintermediate Interactions;multi-tasking;65065;2020-07-13T21:00:01;Virtual;2020-07-13T14:10:01;Zloty Home Loan Account;2020-07-13T05:28:16
5;circuit;index Generic Granite Keyboard Intelligent Granite Salad;34459;2020-07-13T20:44:03;client-server revolutionize;2020-07-13T18:09:25;systems Developer distributed;2020-07-13T20:23:00
6;B2C;Health encompassing Bedfordshire;20938;2020-07-13T06:18:29;solid state Bedfordshire;2020-07-13T14:22:42;withdrawal invoice;2020-07-13T17:30:05
7;CSS lavender Home Loan Account;Refined;19415;2020-07-13T16:38:02;focus group multi-byte clear-thinking;2020-07-13T21:22:21;copying;2020-07-14T00:16:19
8;Bedfordshire;e-services monitor Chief;75146;2020-07-13T08:08:03;backing up Games;2020-07-13T10:17:01;Plastic Guam;2020-07-13T23:19:19
9;New York Fiji;turquoise silver SSL;87991;2020-07-13T08:12:16;Fantastic Granite Fish;2020-07-13T08:14:57;complexity;2020-07-13T11:54:26
10;Grocery;strategy Borders regional;32672;2020-07-13T13:55:47;optimizing;2020-07-13T04:28:35;lime Burkina Faso;2020-07-13T16:26:15
