id;material_code;material_name;shipto;num_class;pur_date;pur_qty;created_by;created_date;last_modified_by;last_modified_date
1;systematic;Refined Car markets;Georgia;PLAN;Executive quantifying;Jewelery calculate Cambridgeshire;haptic;2020-07-13T03:32:57;cross-media neural port;2020-07-13T19:45:49
2;Table Norwegian Krone;Colorado Communications;target;PLAN;Coordinator hacking deposit;Brooks Associate bifurcated;Mountains;2020-07-13T18:57:37;Maryland Chief Senior;2020-07-13T23:23:21
3;repurpose;Vietnam;Cambridgeshire;PLAN;reboot leading edge Avon;multi-byte quantify Table;program Branding;2020-07-13T05:07:26;mint green Planner;2020-07-13T22:56:00
4;Awesome Granite Ball maroon;copying;Credit Card Account Mills;PLAN;Turkey;Granite;visualize Ranch hard drive;2020-07-13T22:40:01;Configuration haptic directional;2020-07-13T22:10:39
5;Sausages Customizable;program Borders;Auto Loan Account;CONFIRM;Synchronised;Wooden;neural;2020-07-13T03:07:43;Wooden;2020-07-13T06:28:03
6;relationships well-modulated Buckinghamshire;methodology optimizing Dynamic;virtual backing up 1080p;PLAN;matrix;auxiliary Vision-oriented granular;Benin Electronics repurpose;2020-07-13T16:35:40;Practical Soft Car Computer Florida;2020-07-13T17:47:34
7;compelling;Bedfordshire Cocos (Keeling) Islands;Supervisor;BALANCE;lime Designer Fresh;navigating;Avon zero defect Avon;2020-07-13T23:50:10;Refined Concrete Chicken;2020-07-13T08:02:26
8;transmitting Comoro Franc;invoice;bypassing Customer;PLAN;Savings Account Computers conglomeration;Awesome Cotton Chips Directives;Concrete;2020-07-13T10:22:58;Plastic;2020-07-13T03:18:30
9;Silver;payment;capacitor;BALANCE;Unbranded Metal Pizza Maine Avon;reboot;Cotton Borders Small Wooden Gloves;2020-07-13T21:01:20;olive;2020-07-13T21:57:56
10;communities Rest payment;contextually-based;actuating Rubber;ASN;Assistant Jordanian Dinar plum;Internal multi-byte;Pines Salad;2020-07-13T06:56:14;Fantastic Soft Towels;2020-07-13T05:45:16
