id;pur_sche_code;pur_sche_version;vendor_code;vendor_name;buyer;pur_class;delivery_times;status;created_by;created_date;last_modified_by;last_modified_date
1;CSS;Investor;Avon;toolset Ergonomic back-end;PNG withdrawal Regional;card;91243;CREATE;Keyboard Movies;2020-07-13T02:47:57;neural;2020-07-13T01:29:39
2;Legacy Program National;Graphic Interface Rustic;cross-platform;deliverables;Congolese Franc Web Towels;Director Principal morph;25921;SEND_OUT;Agent Avon;2020-07-13T10:11:10;Pennsylvania;2020-07-13T01:19:20
3;Producer programming Indiana;deposit solid state;azure conglomeration;Persevering;plug-and-play Refined Wooden Cheese migration;Optional;22183;SEND_OUT;Vista Metal;2020-07-13T23:29:34;North Dakota JBOD Cambridgeshire;2020-07-13T14:29:49
4;copy Configuration reinvent;Forest Open-architected;Triple-buffered Table;Producer;Home Loan Account efficient web-enabled;Rubber;41519;CREATE;Shirt matrix;2020-07-13T07:59:53;Officer;2020-07-13T23:06:03
5;Unbranded system Shoes;Rubber withdrawal Legacy;Credit Card Account withdrawal Legacy;Assistant;deploy Integration;ADP Usability;53509;SEND_OUT;Netherlands Antilles streamline;2020-07-13T13:28:05;Home;2020-07-13T08:28:39
6;alarm Reduced;front-end digital;bandwidth Investment Account Credit Card Account;Strategist;RAM Manager;silver Chicken Bedfordshire;4369;CREATE;generate sky blue hack;2020-07-13T12:18:46;pixel fuchsia;2020-07-13T23:11:38
7;Chicken California paradigms;alarm;PCI;Inverse;convergence;extend Auto Loan Account neural;41403;CREATE;Soft Money Market Account focus group;2020-07-13T01:57:37;functionalities Home Loan Account;2020-07-13T23:21:23
8;Regional Object-based Somali Shilling;Toys;Unbranded synthesizing Pula;Buckinghamshire Borders;Product PNG HTTP;empowering interfaces withdrawal;11422;SEND_OUT;Palau Operations withdrawal;2020-07-13T13:33:34;back-end;2020-07-13T13:22:19
9;Tanzanian Shilling Small Metal Pizza Product;backing up multi-tasking;alarm;Fresh Buckinghamshire New Israeli Sheqel;middleware Fish transmitting;Buckinghamshire;23883;CREATE;navigating Intuitive;2020-07-14T00:07:11;initiative compressing process improvement;2020-07-13T04:25:40
10;Handmade Concrete Chips platforms;hack Data markets;Data USB;Intranet Rwanda Nevada;Buckinghamshire Borders SQL;Colombia Baby Refined;71367;CREATE;Small Frozen Bacon exploit Integration;2020-07-13T19:54:29;B2C;2020-07-13T09:31:07
