id;products_code;material_code;replace_material_code;bom_version;bom_num;usage_date;usage_qty;replace_usage_qty;scale;inter_id;created_by;created_date;last_modified_by;last_modified_date
1;Supervisor Up-sized Money Market Account;Garden Venezuela e-enable;XML well-modulated;Republic of Korea;Research infrastructure;2020-07-13T09:06:45;58553;32428;11073;Kyrgyz Republic markets;Branch paradigms;2020-07-14T00:08:47;Down-sized Industrial;2020-07-13T19:19:22
2;driver wireless internet solution;Steel USB wireless;application experiences Optimization;Car yellow compress;human-resource Bike Handcrafted Soft Keyboard;2020-07-13T20:43:03;60448;40711;66447;Mayotte Belize bandwidth;sensor;2020-07-13T11:34:57;Accounts value-added;2020-07-13T07:20:09
3;Michigan;Dynamic applications mint green;backing up;SQL asynchronous;neural;2020-07-13T21:00:36;38057;27049;66145;Borders Springs azure;Credit Card Account uniform Unbranded;2020-07-13T19:56:36;Unbranded Rubber Pants drive input;2020-07-13T04:21:59
4;interface;Frozen;West Virginia;invoice Mali olive;Product;2020-07-13T03:36:08;49453;33413;19839;Azerbaijanian Manat invoice Seychelles Rupee;Checking Account Kroon Georgia;2020-07-13T15:18:29;JSON;2020-07-13T23:02:52
5;Cocos (Keeling) Islands AGP;Gorgeous;withdrawal Handmade Nepalese Rupee;Marketing deposit tan;Grocery;2020-07-13T10:25:47;58945;1177;99590;hardware Plastic Intelligent;Gorgeous Steel Fish eyeballs backing up;2020-07-14T00:34:27;Indiana;2020-07-13T03:11:35
6;indexing;access;expedite;Self-enabling;calculate Bacon;2020-07-13T16:39:14;73516;86638;84601;Concrete;Bhutan Response matrix;2020-07-13T08:26:21;yellow;2020-07-13T21:38:03
7;holistic driver Metal;indigo;Awesome Officer;Industrial;AGP Refined e-business;2020-07-13T04:02:28;68713;54696;82715;Ergonomic;transmitter;2020-07-13T09:26:09;Small Assurance;2020-07-13T07:05:00
8;online Ball Kids;Tuna Tasty Soft Shirt Credit Card Account;Organic turquoise hack;Clothing Georgia;Borders;2020-07-13T19:20:43;78198;3724;92186;attitude European Unit of Account 9(E.U.A.-9) next-generation;e-services Handmade Concrete Chips;2020-07-13T18:25:47;Florida;2020-07-13T12:04:19
9;scale;payment;Program Mouse;Identity;China;2020-07-13T02:31:31;30926;88806;80720;Chief;Hong Kong Dollar;2020-07-13T19:13:50;Wooden unleash Cambridgeshire;2020-07-13T07:07:08
10;Multi-channelled;Sleek Investment Account transmitting;Fantastic Fresh;neural paradigms;invoice;2020-07-13T01:44:31;22644;73107;47132;Frozen facilitate;Synergistic;2020-07-13T11:27:44;Illinois Director Chips;2020-07-13T19:27:43
