id;material_code;inv_qty;inv_unit;month;upload_date;created_by;created_date;last_modified_by;last_modified_date
1;Associate;38067;grid-enabled Steel;Table;2020-07-13T10:13:58;teal Intelligent Soft Pants Synergized;2020-07-13T17:16:57;SQL Baby sensor;2020-07-13T05:29:25
2;Rubber;58801;models;synthesizing motivating AI;2020-07-13T04:24:38;Greece deposit;2020-07-13T22:02:19;Electronics;2020-07-13T17:28:38
3;transmitting;48578;Rustic Fresh Pants Palau;copy Granite;2020-07-13T22:13:47;calculating El Salvador;2020-07-13T04:05:47;Montana Designer Principal;2020-07-13T09:19:20
4;RAM Metrics back-end;62253;Personal Loan Account;Libyan Arab Jamahiriya;2020-07-13T19:50:28;Solutions program;2020-07-13T17:19:39;revolutionary COM bluetooth;2020-07-13T15:04:09
5;Credit Card Account;92339;Denar bypassing invoice;Clothing;2020-07-13T18:19:39;withdrawal olive Surinam Dollar;2020-07-13T10:00:05;sensor Handcrafted Rubber Towels Balboa US Dollar;2020-07-13T21:30:37
6;copy;20703;back up;invoice Universal Wisconsin;2020-07-13T13:04:35;transmitting lavender users;2020-07-13T04:21:02;Tennessee analyzer multi-tasking;2020-07-13T14:09:42
7;generating;21403;Re-contextualized red Tasty;Future;2020-07-13T15:16:24;deposit portals Synergistic;2020-07-13T07:01:07;Gateway Buckinghamshire system;2020-07-13T16:41:55
8;Total Unbranded Cotton Soap;93825;Alaska extensible;payment;2020-07-13T13:29:21;Plain Marketing Forward;2020-07-13T17:10:38;Mountains Planner Games;2020-07-13T20:08:26
9;Brand Home Loan Account;63418;TCP Ohio;Sports ROI;2020-07-13T10:44:51;back-end Practical Fresh Bacon;2020-07-13T18:44:23;transmit Wooden;2020-07-14T00:26:13
10;Operations firmware;75814;RAM;mesh Forward protocol;2020-07-13T10:21:46;matrix Fresh product;2020-07-13T08:53:53;lavender Innovative;2020-07-13T19:02:24
