id;material_code;inv_qty;inv_unit;month;upload_date;created_by;created_date;last_modified_by;last_modified_date
1;IB;37255;Coordinator;driver West Virginia generating;2020-07-13T12:20:37;Fantastic Plastic Ball Rand Loti Buckinghamshire;2020-07-14T00:32:46;Gambia intangible Road;2020-07-13T03:57:01
2;orange;42535;Ireland Buckinghamshire;open-source Cotton Credit Card Account;2020-07-13T05:09:57;Home wireless JSON;2020-07-13T04:28:02;Steel;2020-07-13T09:42:26
3;port paradigm;50249;Savings Account payment Malagasy Ariary;Groves;2020-07-13T14:51:02;Hat Organic virtual;2020-07-13T08:14:45;District;2020-07-13T17:12:25
4;azure generate front-end;81950;International Cambridgeshire;system mission-critical Central;2020-07-13T14:39:08;generating orange Salad;2020-07-13T02:38:06;payment payment interface;2020-07-13T11:29:05
5;Cambridgeshire stable Steel;3081;quantify Re-engineered;1080p;2020-07-13T17:34:54;North Carolina methodology;2020-07-13T18:56:51;implementation Computers capacitor;2020-07-13T22:22:42
6;parse;32591;Wooden El Salvador Colon US Dollar;Ball;2020-07-13T23:20:46;Chips Table;2020-07-13T06:14:45;Tools mission-critical;2020-07-13T01:21:17
7;Clothing;34567;payment;zero defect Wells driver;2020-07-13T02:37:14;Shoes;2020-07-13T02:25:00;IB;2020-07-13T14:50:40
8;Liaison productivity;97787;cultivate;Pine Hawaii;2020-07-13T19:47:15;Frozen;2020-07-13T23:24:33;Car users;2020-07-13T16:01:08
9;auxiliary Ball;48243;application connect Personal Loan Account;Facilitator Cayman Islands indexing;2020-07-13T07:54:37;deposit;2020-07-13T09:19:55;engineer Checking Account;2020-07-13T09:38:09
10;Berkshire next-generation User-centric;72379;copying;calculating Integration;2020-07-13T01:07:13;methodical system engine Practical;2020-07-13T15:44:04;Computer Avon Dynamic;2020-07-13T14:56:45
