id;vendor_code;vendor_name;po_num;buyer;state;created_by;created_date;last_modified_by;last_modified_date
1;Rubber engineer;structure Money Market Account;Guinea;interface;Intelligent firewall Reverse-engineered;matrix Associate;2020-07-13T11:19:05;open-source;2020-07-13T05:46:39
2;Direct;Gloves Soft California;Lao People's Democratic Republic;bluetooth sensor Engineer;Island Polarised;Sausages cross-platform solid state;2020-07-13T09:42:50;Rustic Wooden Chicken;2020-07-13T19:30:55
3;purple;Auto Loan Account;Harbors port Berkshire;Clothing solution;Fork metrics;streamline Berkshire;2020-07-13T10:45:18;Planner;2020-07-13T04:55:22
4;Home Right-sized;e-business Future Points;black;Handmade Steel Ball Facilitator;Estates Ergonomic Wooden Fish;Crossroad Dynamic;2020-07-13T10:21:15;withdrawal Greens Bedfordshire;2020-07-14T00:29:45
5;Distributed circuit;Tunisia Tasty Concrete Bike;Somali Shilling Investment Account Web;Refined Wooden Sausages Small Metal Mouse;expedite Future drive;Business-focused;2020-07-13T12:26:56;indexing;2020-07-13T03:53:15
6;Delaware forecast;Savings Account Brand;Towels wireless Investment Account;Practical Granite Bacon uniform Analyst;Implementation;Dynamic open-source;2020-07-13T01:47:26;syndicate Practical SSL;2020-07-13T13:20:23
7;visualize;navigate Strategist Handmade Plastic Sausages;Harbors Direct;archive;parsing;cyan Auto Loan Account;2020-07-13T19:27:40;markets Bike calculate;2020-07-13T21:50:02
8;View Movies Argentine Peso;navigate sticky Oregon;mobile;Mauritius Rupee;next-generation;withdrawal connect systems;2020-07-13T18:39:27;Handcrafted Wooden Chicken Multi-tiered;2020-07-13T14:56:46
9;Keyboard;solid state withdrawal;relationships Intelligent Springs;Steel;Right-sized Team-oriented Tugrik;dot-com Unbranded Granite Ball;2020-07-13T06:56:20;USB architecture support;2020-07-13T10:39:18
10;applications Investment Account Tools;JSON;relationships;AGP bluetooth Small;monitor Brand Credit Card Account;XSS Avon Internal;2020-07-13T08:24:13;Strategist intranet Bacon;2020-07-13T15:00:22
