id;po_detail_num;material_code;material_name;material_qty;price;tax;created_by;created_date;last_modified_by;last_modified_date
1;4946;payment Soft;reintermediate Intuitive;92518;65318;82240;Money Market Account copying back up;2020-07-13T17:18:15;invoice Tools;2020-07-13T05:35:15
2;44164;Programmable;quantifying connect;66528;15689;62383;Functionality purple knowledge base;2020-07-13T04:09:54;Chicken Isle functionalities;2020-07-13T23:00:43
3;53972;synthesize;one-to-one redundant;71203;19798;26952;Lead;2020-07-13T22:50:54;parallelism solution;2020-07-14T00:01:35
4;55636;Developer digital orchid;France;84797;14959;67937;motivating THX Toys;2020-07-13T12:11:40;blue;2020-07-13T04:53:43
5;32635;Incredible Florida;International;42394;48489;31072;Customer Networked;2020-07-13T09:40:46;Qatar multimedia;2020-07-13T19:47:38
6;11049;sky blue leading edge;Codes specifically reserved for testing purposes;26009;34975;82619;invoice bypass;2020-07-13T04:17:12;Self-enabling generating;2020-07-13T04:03:38
7;1778;eyeballs payment hack;copy monitoring;98872;38227;38503;Inlet;2020-07-13T16:10:44;cyan;2020-07-13T01:53:16
8;30784;SMTP AI;IB Georgia Shore;95731;72091;70328;Frozen Rubber Table;2020-07-13T09:42:04;card fuchsia Cayman Islands Dollar;2020-07-13T20:47:03
9;77464;Reverse-engineered Soft;Lead bluetooth;68207;50769;93027;cross-platform;2020-07-13T02:12:30;Executive;2020-07-13T20:47:32
10;8535;alarm magenta backing up;Chair Gorgeous Metal Fish Auto Loan Account;99803;75183;89051;quantify;2020-07-13T02:41:28;bypassing compress;2020-07-13T22:01:59
