id;pur_sche_code;pur_sche_version;vendor_code;vendor_name;buyer;pur_class;delivery_times;status;created_by;created_date;last_modified_by;last_modified_date
1;Handmade;protocol;Checking Account;TCP Soft Saudi Arabia;Stravenue Liaison;deposit Garden;Infrastructure architectures THX;gold wireless;Pula neural copy;2020-07-13T06:05:28;mission-critical;2020-07-13T17:28:44
2;wireless;Granite;Bulgaria;Agent teal;Licensed Gorgeous;Visionary Bacon throughput;parse Mississippi;Chad;feed;2020-07-13T10:07:37;ADP Liaison;2020-07-13T15:19:56
3;primary;Radial Refined Cotton Mouse;white Rustic;payment back up;Music;plum payment;Credit Card Account Associate;TCP;Facilitator;2020-07-13T20:12:16;Cambridgeshire parsing;2020-07-13T11:23:37
4;interfaces withdrawal Product;parallelism;Tools;deposit;Tasty Concrete Salad;Internal;Optional transmitter;SMTP;focus group Michigan;2020-07-13T22:46:58;Cambridgeshire Kansas haptic;2020-07-13T22:37:00
5;Incredible Cotton Chicken optical Research;Fresh;Bangladesh;Fish;connect users hierarchy;quantify;Direct application Shores;Movies transmitter Convertible Marks;multi-byte Focused monitoring;2020-07-13T09:06:58;Ergonomic index;2020-07-13T03:41:39
6;Borders plug-and-play;e-business composite portals;e-business bypassing;compressing Concrete;Direct;Investor North Carolina;focus group invoice Intranet;synthesizing;Response;2020-07-13T01:33:07;strategic Auto Loan Account Checking Account;2020-07-13T02:50:59
7;Chicken Curve;channels;purple Chief;Bacon;Investor tan infrastructures;program;Concrete Tools Incredible Rubber Tuna;Kina;flexibility e-business;2020-07-13T12:52:03;Ball;2020-07-13T15:40:24
8;Bedfordshire;holistic hard drive;Refined;Inverse;robust;Music Tasty knowledge user;Associate attitude Fresh;service-desk;AI contextually-based;2020-07-13T22:02:36;homogeneous Central;2020-07-13T12:54:14
9;value-added virtual invoice;optical District Credit Card Account;Automotive;SSL;generating Consultant;Personal Loan Account open-source;online;Checking Account Savings Account;Chief;2020-07-13T17:33:08;harness Fork;2020-07-13T07:04:01
10;systemic GB invoice;Intranet;Architect;Sleek Concrete Table;wireless Legacy;transmit Markets Proactive;Home Loan Account rich;Liberian Dollar compressing open-source;CSS;2020-07-13T12:45:25;Austria application;2020-07-13T04:05:22
