id;material_code;material_name;shipto;num_class;pur_date;pur_qty;created_by;created_date;last_modified_by;last_modified_date
1;parsing;Shoes Maryland;multi-byte Fish global;BALANCE;2020-07-13T10:38:31;76;Auto Loan Account AI;2020-07-13T12:11:42;optical Lari Supervisor;2020-07-13T17:20:56
2;Regional optimize out-of-the-box;navigate Officer Pants;Streets Camp;ASN;2020-07-13T21:48:23;67168;Chief Web;2020-07-13T17:31:08;SAS deposit;2020-07-13T07:31:57
3;encompassing methodology District;mint green bypassing Program;ADP;CONFIRM;2020-07-13T02:14:54;64693;ability;2020-07-13T08:02:57;bleeding-edge;2020-07-13T01:54:25
4;bandwidth Riel Corner;neutral;turquoise Wooden Macedonia;CONFIRM;2020-07-13T11:50:42;83926;Avon Azerbaijanian Manat Berkshire;2020-07-13T12:54:31;Towels;2020-07-13T13:09:29
5;Accountability payment bluetooth;Fundamental Jordanian Dinar;Cape Verde Escudo;ASN;2020-07-13T09:37:51;67168;Web Virtual impactful;2020-07-13T01:28:15;Rustic Executive;2020-07-13T21:56:25
6;deliverables Internal input;Tuna;Buckinghamshire Cheese teal;PLAN;2020-07-13T21:18:35;6381;Concrete;2020-07-13T14:04:08;azure Applications Marketing;2020-07-13T07:09:54
7;application;synergistic pixel firewall;Cotton compressing Consultant;PLAN;2020-07-13T13:29:59;26987;bandwidth Profit-focused;2020-07-13T08:47:39;implement Afghanistan;2020-07-13T01:17:09
8;Wisconsin digital;Mouse Direct Common;models;PLAN;2020-07-13T06:35:27;56595;ADP SAS Graphical User Interface;2020-07-13T13:49:55;asynchronous Denmark Berkshire;2020-07-13T15:04:25
9;Money Market Account Sports;Intelligent;SAS Garden;CONFIRM;2020-07-13T17:17:48;59500;driver markets;2020-07-13T02:26:20;communities Optional Cayman Islands Dollar;2020-07-13T06:36:07
10;infrastructures;optimize Movies programming;visionary Clothing Viaduct;ASN;2020-07-13T03:17:26;25035;Vermont;2020-07-13T09:45:56;Incredible;2020-07-14T00:19:48
