id;material_class;delivery_cycle;created_by;created_date;last_modified_by;last_modified_date
1;input Rhode Island navigate;firewall pixel dot-com;port Texas Radial;2020-07-13T09:07:43;override online;2020-07-13T16:29:34
2;indexing knowledge user;Practical teal Vermont;copying Republic of Korea;2020-07-13T20:15:25;Credit Card Account Garden;2020-07-13T21:02:42
3;killer;invoice Fresh Liaison;input full-range Bedfordshire;2020-07-14T00:11:43;calculating;2020-07-14T00:08:42
4;silver program hacking;Robust application;Investment Account driver Texas;2020-07-13T19:02:06;Lebanon;2020-07-13T04:16:38
5;US Dollar;connecting;sky blue Down-sized;2020-07-13T08:22:08;technologies;2020-07-13T17:26:36
6;Human;Wooden Tokelau;port Berkshire Automotive;2020-07-13T02:30:42;Personal Loan Account Saint Helena Pound;2020-07-13T09:13:38
7;Concrete virtual Credit Card Account;Shoes wireless;emulation;2020-07-13T17:59:12;payment primary;2020-07-13T01:27:24
8;Qatari Rial withdrawal;Bacon Global matrix;maroon GB visionary;2020-07-13T14:11:34;Guarani;2020-07-13T11:48:34
9;Dynamic;Enhanced back-end;productize red;2020-07-13T17:54:29;olive;2020-07-13T04:51:27
10;alarm;6th generation Utah;Sleek Fresh Chips;2020-07-13T07:25:03;Rustic Wooden Chair;2020-07-13T13:52:38
