id;payment_term;payment_date;payment_scale;amount;bpm_num;created_by;created_date;last_modified_by;last_modified_date
1;Business-focused payment indigo;2020-07-13T16:34:47;27628;68385;Licensed Steel Hat deposit;Metal;2020-07-13T02:06:18;International B2C;2020-07-13T21:50:49
2;Sleek Granite Ball SCSI;2020-07-13T23:30:26;31950;94802;exploit core;quantify;2020-07-13T06:14:44;intermediate;2020-07-13T03:11:22
3;withdrawal;2020-07-13T19:34:08;52002;3390;index;standardization Parks Rhode Island;2020-07-13T04:47:37;calculating;2020-07-13T04:26:42
4;Tuna multi-byte Internal;2020-07-13T18:48:22;37829;71356;Toys Uganda;Mountain Group;2020-07-13T04:36:32;monitor Fresh frame;2020-07-13T15:42:03
5;Gorgeous Steel Tuna bypass;2020-07-13T17:54:53;83336;14300;Intelligent Colorado;Markets;2020-07-13T17:03:34;hacking systems capacitor;2020-07-13T03:37:29
6;invoice;2020-07-13T06:43:05;67357;51417;Yen Developer bleeding-edge;Georgia Villages Developer;2020-07-13T04:31:03;digital database withdrawal;2020-07-13T17:31:51
7;Maine open system Monaco;2020-07-13T13:21:28;31459;41651;array bypassing hacking;Kids stable niches;2020-07-13T22:56:02;navigate portals;2020-07-13T06:44:46
8;Pants Beauty CSS;2020-07-13T18:00:12;43522;28884;Licensed Plastic Car;Fields District extend;2020-07-13T07:42:29;Supervisor;2020-07-13T19:49:26
9;Cambridgeshire Baht Keyboard;2020-07-13T20:05:18;10574;42207;feed action-items Oregon;Ameliorated bandwidth;2020-07-13T10:48:30;Small Steel Gloves Mobility;2020-07-13T07:32:00
10;Accountability Auto Loan Account;2020-07-13T14:34:59;22851;97069;Cambridgeshire;digital;2020-07-13T10:25:37;Tasty;2020-07-13T14:52:38
