id;material_code;stock_code;stock_qty;setup_date;created_by;created_date;last_modified_by;last_modified_date
1;pricing structure solid state Licensed;Intelligent Soft Pants azure;19129;2020-07-13T05:47:02;disintermediate User-centric Specialist;2020-07-13T09:40:53;Virtual Handmade Granite Hat;2020-07-13T10:06:55
2;portals;West Virginia Regional;69181;2020-07-13T16:15:13;Developer;2020-07-13T17:49:45;Incredible Steel Bike Aruba Cambridgeshire;2020-07-13T03:35:36
3;Fantastic Granite Gloves;Executive transition override;40896;2020-07-13T09:32:12;primary;2020-07-13T11:08:31;HTTP;2020-07-13T15:25:35
4;Knoll;Granite scalable;56527;2020-07-13T03:11:58;Gorgeous Metal Soap Circle dedicated;2020-07-13T03:12:11;Pataca Tajikistan neural-net;2020-07-13T09:08:44
5;generate Executive connect;Unbranded;19335;2020-07-13T06:35:55;array Senior;2020-07-13T10:06:41;Cayman Islands pixel Sports;2020-07-13T14:50:32
6;JBOD navigating hack;Sleek Metal Table Central African Republic Savings Account;58758;2020-07-13T15:32:36;Estonia Investment Account port;2020-07-13T19:47:28;viral;2020-07-13T15:45:30
7;Hat Rubber;Buckinghamshire;1873;2020-07-13T23:52:40;projection Product;2020-07-13T15:10:45;Kids Programmable cohesive;2020-07-13T15:42:35
8;Music Small;Borders;15992;2020-07-14T00:36:05;Tasty Concrete Gloves;2020-07-13T04:20:10;leading edge;2020-07-13T06:28:58
9;District Money Market Account 1080p;Practical Fresh Pizza deliverables;56219;2020-07-13T13:57:55;gold;2020-07-13T11:55:47;program;2020-07-13T05:32:42
10;metrics Planner;Summit hard drive;47554;2020-07-13T13:14:53;bleeding-edge array;2020-07-13T23:18:41;strategize Handmade Wooden Chair;2020-07-13T01:19:15
