id;material_code;component_material_code;component_material_name;customer_material_code;vendor_code;ship_cycle;use_qty;unit;stock_qty;item_type;date;qty;created_by;created_date;last_modified_by;last_modified_date
1;capability;zero administration Sleek quantifying;Mexican Peso Mexican Unidad de Inversion (UDI) Motorway;Nebraska Outdoors;Handmade Granite;Plain compressing Buckinghamshire;99000;technologies;20746;Shoes;2020-07-13T20:57:12;27483;alarm Borders;2020-07-13T02:33:49;Implemented Infrastructure whiteboard;2020-07-13T15:00:44
2;invoice;content virtual Credit Card Account;Hollow Malaysia Marketing;Berkshire Somoni innovative;deposit SAS Steel;networks Persevering Virginia;97280;Tennessee;97470;real-time Salad;2020-07-14T00:50:39;85124;iterate solid state Savings Account;2020-07-13T18:25:36;CFA Franc BEAC;2020-07-13T21:59:39
3;Netherlands Antilles platforms Wooden;copy;Sudanese Pound Greenland;bluetooth withdrawal;cross-platform Point;client-server;98133;auxiliary optimize Licensed;12637;Argentina;2020-07-13T16:27:28;42430;Phased;2020-07-13T02:08:16;Pizza Cambridgeshire cross-platform;2020-07-13T01:32:55
4;Pine mobile;toolset;Syrian Pound Wooden mission-critical;4th generation ubiquitous;Dynamic SAS Cambridgeshire;navigating;26404;intuitive;55714;hacking empower USB;2020-07-13T06:01:33;98287;technologies conglomeration;2020-07-13T19:36:28;Soft Administrator;2020-07-13T09:59:44
5;Outdoors;Directives;grid-enabled Iowa payment;encoding Health Wooden;Rwanda Franc Industrial Data;pixel Accounts;13436;violet Bedfordshire bus;91620;Refined Metal Pants;2020-07-13T04:18:57;3210;XSS invoice Utah;2020-07-13T08:08:36;Shirt;2020-07-13T22:56:59
6;azure Baby interface;payment web services Fresh;digital;Tasty Steel Ball;Rustic Metal Hat Accounts Rupiah;Brazilian Real;20324;Orchestrator Directives;51254;compress;2020-07-13T22:00:27;96988;wireless intangible;2020-07-13T15:22:21;Barbados Dollar Sports hack;2020-07-13T09:15:20
7;neural Automated Rwanda;SMTP;Jamaica;definition invoice;connecting;challenge Metal Beauty;54904;redundant Direct Trinidad and Tobago Dollar;54012;withdrawal Global;2020-07-13T09:43:15;1562;West Virginia Unbranded Granite Chips Generic Frozen Gloves;2020-07-13T21:53:41;Overpass;2020-07-13T03:08:18
8;Route;Borders iterate Senior;system-worthy;Concrete deposit Vermont;Centralized Poland;Moldovan Leu neural District;76;Garden;5468;Groves;2020-07-13T08:19:01;15079;Checking Account Branch Mauritius Rupee;2020-07-13T14:54:18;Music;2020-07-13T20:09:05
9;bandwidth;integrated bandwidth pixel;Orchestrator calculating Interactions;Industrial;sensor;Bedfordshire Director;33679;Health;57488;frictionless payment;2020-07-13T01:45:27;83529;bypass bandwidth Syrian Arab Republic;2020-07-13T23:38:45;Frozen International;2020-07-13T06:12:25
10;Right-sized Central;revolutionary Bedfordshire;Pants;primary;Sleek;needs-based;81380;seize Licensed Concrete Salad Handmade Fresh Pizza;21197;gold Cotton capacitor;2020-07-13T10:15:50;43736;Trail Seychelles Rupee;2020-07-13T17:59:29;empower system Malagasy Ariary;2020-07-13T20:12:34
